S.No.,ACCESSION NO.,ORGANISM NAME,VRL,SPECIES,LENGTH,GEO LOCATION,HOST,COLLECTION DATE
402,UBT21384,Orthohantavirus chocloense,30-12-2021,Orthohantavirus chocloense,428,Panama,Oligoryzomys costaricensis,
403,UCR73872,Orthohantavirus sinnombreense,17-10-2021,Orthohantavirus sinnombreense,428,USA,Peromyscus maniculatus,31-08-2017
404,UCR73883,Orthohantavirus puumalaense,17-10-2021,Orthohantavirus puumalaense,433,Switzerland,Homo sapiens,2020-01
405,UCR73884,Orthohantavirus puumalaense,17-10-2021,Orthohantavirus puumalaense,433,Switzerland,Homo sapiens,2020-01
406,UBV62004,Orthohantavirus sinnombreense,09-10-2021,Orthohantavirus sinnombreense,428,USA: New Mexico,Homo sapiens,
407,QOH97989,Orthohantavirus puumalaense,07-10-2021,Orthohantavirus puumalaense,433,France: Jura,Myodes glareolus,2005-04
408,QOH97990,Orthohantavirus puumalaense,07-10-2021,Orthohantavirus puumalaense,433,France: Jura,Myodes glareolus,2005-04
409,QOH97991,Orthohantavirus puumalaense,07-10-2021,Orthohantavirus puumalaense,433,France: Jura,Myodes glareolus,2005-07
410,QOH97992,Orthohantavirus puumalaense,07-10-2021,Orthohantavirus puumalaense,433,France: Jura,Myodes glareolus,2005-07
411,QOH97993,Orthohantavirus puumalaense,07-10-2021,Orthohantavirus puumalaense,433,France: Jura,Myodes glareolus,2005-07
412,QOH97994,Orthohantavirus puumalaense,07-10-2021,Orthohantavirus puumalaense,433,France: Jura,Myodes glareolus,2005-07
413,QOH97995,Orthohantavirus puumalaense,07-10-2021,Orthohantavirus puumalaense,433,France: Jura,Myodes glareolus,2005-07
414,QOH97996,Orthohantavirus puumalaense,07-10-2021,Orthohantavirus puumalaense,433,France: Jura,Myodes glareolus,2005-07
415,QOH97997,Orthohantavirus puumalaense,07-10-2021,Orthohantavirus puumalaense,433,France: Jura,Myodes glareolus,2005-10
416,QOH97998,Orthohantavirus puumalaense,07-10-2021,Orthohantavirus puumalaense,433,France: Jura,Myodes glareolus,2005-10
417,QOH97999,Orthohantavirus puumalaense,07-10-2021,Orthohantavirus puumalaense,433,France: Jura,Myodes glareolus,2006-04
418,QOH98000,Orthohantavirus puumalaense,07-10-2021,Orthohantavirus puumalaense,433,France: Jura,Myodes glareolus,2007-10
419,QOH98001,Orthohantavirus puumalaense,07-10-2021,Orthohantavirus puumalaense,433,France: Jura,Myodes glareolus,2007-10
420,UBT84394,Orthohantavirus sinnombreense,06-10-2021,Orthohantavirus sinnombreense,428,USA,,
421,UBM82392,Orthohantavirus seoulense,01-10-2021,Orthohantavirus seoulense,429,Benin,Rattus norvegicus,2018-04
422,UBF41763,Orthohantavirus puumalaense,27-09-2021,Orthohantavirus puumalaense,433,,,
423,UBB42249,Wenzhou Rattus norvegicus orthohantavirus 1,26-09-2021,Wenzhou Rattus norvegicus orthohantavirus 1,429,China,Rattus norvegicus,2016
424,UBB42252,Wenzhou Rattus tanezumi orthohantavirus 1,26-09-2021,Wenzhou Rattus tanezumi orthohantavirus 1,429,China,Rattus tanezumi,2016
425,UBB42255,Longquan Niviventer fulvescens orthohantavirus 1,26-09-2021,Longquan Niviventer fulvescens orthohantavirus 1,429,China,Niviventer fulvescens,2016
426,UBB42258,Longquan Leopoldamys edwardsi orthohantavirus 1,26-09-2021,Longquan Leopoldamys edwardsi orthohantavirus 1,429,China,Leopoldamys edwardsi,2016
427,UBB42261,Longquan Niviventer niviventer orthohantavirus 1,26-09-2021,Longquan Niviventer niviventer orthohantavirus 1,429,China,Niviventer niviventer,2016
428,UBB42264,Wufeng Niviventer niviventer orthohantavirus 1,26-09-2021,Wufeng Niviventer niviventer orthohantavirus 1,429,China,Niviventer niviventer,2016
429,UBB42267,Wufeng Niviventer fulvescens orthohantavirus 1,26-09-2021,Wufeng Niviventer fulvescens orthohantavirus 1,429,China,Niviventer fulvescens,2016
430,QOS47270,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
431,QOS47271,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
432,QOS47272,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
433,QOS47273,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
434,QOS47274,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
435,QOS47275,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
436,QOS47276,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
437,QOS47277,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
438,QOS47278,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
439,QOS47279,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
440,QOS47280,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
441,QOS47281,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
442,QOS47282,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
443,QOS47283,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
444,QOS47284,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
445,QOS47285,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
446,QOS47286,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
447,QOS47287,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
448,QOS47288,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
449,QOS47289,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
450,QOS47290,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
451,QOS47291,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
452,QOS47292,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
453,QOS47293,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
454,QOS47294,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
455,QOS47295,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
456,QOS47296,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
457,QOS47297,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
458,QOS47298,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
459,QOS47299,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
460,QOS47300,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
461,QOS47301,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
462,QOS47302,Orthohantavirus puumalaense,14-09-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,
463,UAJ49543,Orthohantavirus seoulense,14-09-2021,Orthohantavirus seoulense,429,China,Rattus norvegicus,2020
464,UAJ49544,Orthohantavirus seoulense,14-09-2021,Orthohantavirus seoulense,429,China,Rattus norvegicus,2020
465,UAJ49545,Orthohantavirus seoulense,14-09-2021,Orthohantavirus seoulense,429,China,Rattus norvegicus,2020
466,UAJ49546,Orthohantavirus seoulense,14-09-2021,Orthohantavirus seoulense,429,China,Rattus norvegicus,2020
467,UAJ49547,Orthohantavirus seoulense,14-09-2021,Orthohantavirus seoulense,429,China,Rattus norvegicus,2020
468,UAJ49548,Orthohantavirus seoulense,14-09-2021,Orthohantavirus seoulense,429,China,Rattus norvegicus,2020
469,QZR93705,Orthohantavirus sinnombreense,06-09-2021,Orthohantavirus sinnombreense,432,USA,,2020-08
470,QZR93708,Orthohantavirus sinnombreense,06-09-2021,Orthohantavirus sinnombreense,428,USA,Peromyscus maniculatus,19-08-2020
471,QZR93711,Orthohantavirus sinnombreense,06-09-2021,Orthohantavirus sinnombreense,428,USA,Peromyscus maniculatus,19-08-2020
472,QZR93717,Orthohantavirus sinnombreense,06-09-2021,Orthohantavirus sinnombreense,428,USA,Tamias minimus,19-08-2020
473,QZR93722,Orthohantavirus sinnombreense,06-09-2021,Orthohantavirus sinnombreense,428,USA,Peromyscus maniculatus,19-08-2020
474,QZA58099,Orthohantavirus thailandense,22-08-2021,Orthohantavirus thailandense,429,"Madagascar: Tsimbazaza zoo, Antananarivo Province",Rattus rattus,09-03-2015
475,QXU63644,Orthohantavirus hantanense,10-08-2021,Orthohantavirus hantanense,429,South Korea,Homo sapiens,15-12-2016
476,QXU63645,Orthohantavirus hantanense,10-08-2021,Orthohantavirus hantanense,429,South Korea,Homo sapiens,19-12-2016
477,QXU63646,Orthohantavirus hantanense,10-08-2021,Orthohantavirus hantanense,429,South Korea,Homo sapiens,11-01-2017
478,QXU63647,Orthohantavirus hantanense,10-08-2021,Orthohantavirus hantanense,429,South Korea,Homo sapiens,27-10-2017
479,QXU63649,Orthohantavirus hantanense,10-08-2021,Orthohantavirus hantanense,429,South Korea,Homo sapiens,15-12-2016
480,QXT50475,Orthohantavirus seoulense,26-07-2021,Orthohantavirus seoulense,429,United Kingdom,Homo sapiens,2019-11
481,QQD79881,Orthohantavirus dobravaense,09-07-2021,Orthohantavirus dobravaense,429,Lithuania: Rusne,Apodemus agrarius,2018
482,QQD79883,Orthohantavirus dobravaense,09-07-2021,Orthohantavirus dobravaense,429,Lithuania: Lukstas,Apodemus agrarius,2018
483,QQD79884,Orthohantavirus dobravaense,09-07-2021,Orthohantavirus dobravaense,429,Lithuania: Lukstas,Apodemus agrarius,2018
484,QQD79885,Orthohantavirus dobravaense,09-07-2021,Orthohantavirus dobravaense,429,Lithuania: Tytuvenai,Apodemus agrarius,2018
485,QQD79886,Orthohantavirus dobravaense,09-07-2021,Orthohantavirus dobravaense,429,Lithuania: Birzai,Apodemus agrarius,2016
486,QQD79899,Orthohantavirus puumalaense,09-07-2021,Orthohantavirus puumalaense,433,Lithuania: Dembava,Myodes glareolus,2018
487,QQD79902,Orthohantavirus tulaense,09-07-2021,Orthohantavirus tulaense,430,Lithuania: Kalpokai,Microtus arvalis,2018
488,QQD79904,Orthohantavirus tulaense,09-07-2021,Orthohantavirus tulaense,430,Lithuania: Naradava,Microtus arvalis,2018
489,QUW04878,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,15-05-2019
490,QUW04879,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,15-05-2019
491,QUW04880,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,15-05-2019
492,QUW04881,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,21-05-2019
493,QUW04882,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,11-10-2019
494,QUW04883,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,23-10-2019
495,QUW04884,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,23-10-2019
496,QUW04885,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,23-10-2019
497,QUW04886,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,19-11-2019
498,QUW04887,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,07-05-2019
499,QUW04888,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,07-05-2019
500,QUW04889,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,03-09-2019
501,QUW04914,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,15-05-2019
502,QUW04915,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,15-05-2019
503,QUW04916,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,15-05-2019
504,QUW04917,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,21-05-2019
505,QUW04918,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,11-10-2019
506,QUW04919,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,23-10-2019
507,QUW04920,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,23-10-2019
508,QUW04921,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,23-10-2019
509,QUW04922,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,19-11-2019
510,QUW04923,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,07-05-2019
511,QUW04924,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,07-05-2019
512,QUW04925,Orthohantavirus hantanense,12-05-2021,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,03-09-2019
513,QUN00688,Orthohantavirus hantanense,05-05-2021,Orthohantavirus hantanense,429,South Korea: Jeju Island,Apodemus chejuensis,25-04-2019
514,QUN00689,Orthohantavirus hantanense,05-05-2021,Orthohantavirus hantanense,429,South Korea: Jeju Island,Apodemus chejuensis,03-02-2020
515,QUN00690,Orthohantavirus hantanense,05-05-2021,Orthohantavirus hantanense,429,South Korea: Jeju Island,Apodemus chejuensis,03-02-2020
516,QUN00691,Orthohantavirus hantanense,05-05-2021,Orthohantavirus hantanense,429,South Korea: Jeju Island,Apodemus chejuensis,04-02-2020
517,QUN00692,Orthohantavirus hantanense,05-05-2021,Orthohantavirus hantanense,429,South Korea: Jeju Island,Apodemus chejuensis,04-02-2020
518,QUN00693,Orthohantavirus hantanense,05-05-2021,Orthohantavirus hantanense,429,South Korea: Jeju Island,Apodemus chejuensis,04-02-2020
519,QTW01243,Orthohantavirus puumalaense,20-04-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,2018
520,QTW01244,Orthohantavirus puumalaense,20-04-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,2018
521,QTW01245,Orthohantavirus puumalaense,20-04-2021,Orthohantavirus puumalaense,433,France,,2017
522,QTW01246,Orthohantavirus puumalaense,20-04-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,2011
523,QTW01247,Orthohantavirus puumalaense,20-04-2021,Orthohantavirus puumalaense,433,France,,2017
524,QTW01248,Orthohantavirus puumalaense,20-04-2021,Orthohantavirus puumalaense,433,France,Myodes glareolus,2014
525,QRY27104,Orthohantavirus andesense,27-02-2021,Orthohantavirus andesense,428,Chile,Homo sapiens,1999
526,QRY27108,Orthohantavirus andesense,27-02-2021,Orthohantavirus andesense,428,Chile,Oligoryzomys longicaudatus,1997
527,QQL01622,Orthohantavirus dobravaense,09-02-2021,Orthohantavirus dobravaense,429,"Austria: Lake Neusiedl, site 3",Apodemus agrarius,2011
528,QOI08469,Seewis virus,31-01-2021,Seewis orhtohantavirus,429,Russia: Altai Republic,Sorex araneus,2007-06
529,QOI08470,Artybash virus,31-01-2021,Artybash virus,429,Russia: Altai Republic,Sorex caecutiens,2007-09
530,QQP20324,Orthohantavirus hantanense,20-01-2021,Orthohantavirus hantanense,429,China: Jiangxi,Apodemus agrarius,2019-04
531,QPP11575,Orthohantavirus dobravaense,15-12-2020,Orthohantavirus dobravaense,429,"Austria: Lake Neusiedl, site 10",Apodemus agrarius,2017
532,BCH41977,Anjozorobe virus,09-12-2020,Orthohantavirus thailandense,429,Sri Lanka,Rattus rattus,2019
533,BCH41971,Lanka hantavirus,08-12-2020,Lanka hantavirus,429,Sri Lanka,Mus booduga,2018
534,BCH41974,Lanka hantavirus,08-12-2020,Lanka hantavirus,429,Sri Lanka,Mus booduga,2019
535,BCH41980,Lanka hantavirus,08-12-2020,Lanka hantavirus,429,Sri Lanka,Mus booduga,2019
536,BCH41983,Lanka hantavirus,08-12-2020,Lanka hantavirus,429,Sri Lanka,Mus booduga,2019
537,BCH41986,Lanka hantavirus,08-12-2020,Lanka hantavirus,429,Sri Lanka,Mus booduga,2019
538,QPK67295,Orthohantavirus seewisense,07-12-2020,Orthohantavirus seewisense,429,"Mongolia: Khovsgol Lake National Park, Khovsgol aimag",Sorex tundrensis,18-08-2010
539,QEG99435,Hokkaido virus,30-11-2020,Hokkaido virus,433,Russia: Altai region,Myodes rutilus,2007-06
540,QEG99436,Academ virus,30-11-2020,Academ virus,430,Russia: Novosibirsk region,Talpa altaica,2017-08
541,QIM73915,Orthohantavirus sp.,12-10-2020,Orthohantavirus sp.,429,Thailand,Bandicota indica,2010-11
542,QIM73922,Orthohantavirus sp.,12-10-2020,Orthohantavirus sp.,429,Thailand,Bandicota indica,2010-03
543,QIM73925,Orthohantavirus sp.,12-10-2020,Orthohantavirus sp.,429,Thailand,Bandicota indica,2012-11
544,QIM73928,Orthohantavirus sp.,12-10-2020,Orthohantavirus sp.,429,Thailand,Bandicota indica,2013-03
545,QIM73931,Orthohantavirus sp.,12-10-2020,Orthohantavirus sp.,429,Thailand,Bandicota indica,2018-07
546,QIM73934,Orthohantavirus sp.,12-10-2020,Orthohantavirus sp.,429,Thailand,Bandicota indica,2011-11
547,QIM73937,Orthohantavirus sp.,12-10-2020,Orthohantavirus sp.,429,Thailand,Bandicota indica,2011-11
548,QIM73940,Orthohantavirus sp.,12-10-2020,Orthohantavirus sp.,429,Thailand,Bandicota indica,2011-11
549,QNQ18240,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
550,QNQ18241,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
551,QNQ18242,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
552,QNQ18243,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
553,QNQ18244,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
554,QNQ18245,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
555,QNQ18246,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
556,QNQ18247,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
557,QNQ18248,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
558,QNQ18249,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
559,QNQ18250,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
560,QNQ18251,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
561,QNQ18252,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
562,QNQ18253,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
563,QNQ18254,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
564,QNQ18255,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
565,QNQ18256,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
566,QNQ18257,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
567,QNQ18258,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
568,QNQ18259,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
569,QNQ18260,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
570,QNQ18261,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
571,QNQ18262,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
572,QNQ18263,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
573,QNQ18264,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
574,QNQ18265,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
575,QNQ18266,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
576,QNQ18267,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
577,QNQ18268,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
578,QNQ18269,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
579,QNQ18270,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
580,QNQ18271,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
581,QNQ18272,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
582,QNQ18273,Orthohantavirus andesense,30-09-2020,Orthohantavirus andesense,428,Argentina,Homo sapiens,
583,QOC68010,Orthohantavirus hantanense,30-09-2020,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,29-04-2015
584,QOC68011,Orthohantavirus hantanense,30-09-2020,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,29-04-2015
585,QOC68012,Orthohantavirus hantanense,30-09-2020,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,30-04-2015
586,QOC68013,Orthohantavirus hantanense,30-09-2020,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,30-04-2015
587,QOC68014,Orthohantavirus hantanense,30-09-2020,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,06-04-2017
588,QOC68015,Orthohantavirus hantanense,30-09-2020,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,23-10-2017
589,QOC68016,Orthohantavirus hantanense,30-09-2020,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,23-10-2017
590,QOC68017,Orthohantavirus hantanense,30-09-2020,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,29-10-2017
591,QOC68018,Orthohantavirus hantanense,30-09-2020,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,29-10-2017
592,QOC68019,Orthohantavirus hantanense,30-09-2020,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,27-11-2018
593,QOC68020,Orthohantavirus hantanense,30-09-2020,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,28-11-2018
594,QOC68021,Orthohantavirus hantanense,30-09-2020,Orthohantavirus hantanense,429,South Korea,Apodemus agrarius,28-11-2018
595,QOC68546,Orthohantavirus puumalaense,30-09-2020,Orthohantavirus puumalaense,433,Germany,,
596,QOC68550,Orthohantavirus puumalaense,30-09-2020,Orthohantavirus puumalaense,433,Germany,,
597,QNR00533,Rusne orthohantavirus,15-09-2020,Rusne orthohantavirus,433,Lithuania: Rusne,Alexandromys oeconomus,2015
598,QNR00534,Rusne orthohantavirus,15-09-2020,Rusne orthohantavirus,433,Lithuania: Rusne,Alexandromys oeconomus,2015
599,QNR00535,Rusne orthohantavirus,15-09-2020,Rusne orthohantavirus,433,Lithuania: Rusne,Alexandromys oeconomus,2015
600,QNR00536,Rusne orthohantavirus,15-09-2020,Rusne orthohantavirus,433,Lithuania: Rusne,Alexandromys oeconomus,2015
601,QNR00537,Rusne orthohantavirus,15-09-2020,Rusne orthohantavirus,433,Lithuania: Rusne,Alexandromys oeconomus,2017
602,QNQ74082,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2017
603,QNQ74083,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2017
604,QNQ74084,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2017
605,QNQ74085,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2017
606,QNQ74086,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2017
607,QNQ74087,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2017
608,QNQ74088,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2019
609,QNQ74089,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2019
610,QNQ74090,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2019
611,QNQ74091,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2019
612,QNQ74092,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2019
613,QNQ74093,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2018
614,QNQ74094,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2018
615,QNQ74095,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2017
616,QNQ74096,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2017
617,QNQ74097,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2018
618,QNQ74098,Orthohantavirus puumalaense,14-09-2020,Orthohantavirus puumalaense,433,France,Myodes glareolus,2018
619,QMU24934,Orthohantavirus puumalaense,10-08-2020,Orthohantavirus puumalaense,433,Germany,Myodes glareolus,2012
620,QMU24935,Orthohantavirus puumalaense,10-08-2020,Orthohantavirus puumalaense,433,Germany,Myodes glareolus,2012
621,QMU24936,Orthohantavirus puumalaense,10-08-2020,Orthohantavirus puumalaense,433,Germany,Myodes glareolus,2012
622,QMU24937,Orthohantavirus puumalaense,10-08-2020,Orthohantavirus puumalaense,433,Lithuania,Myodes glareolus,2015
623,QMU24938,Orthohantavirus tulaense,10-08-2020,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2015
624,QMU24939,Orthohantavirus tulaense,10-08-2020,Orthohantavirus tulaense,429,Germany,Microtus arvalis,2015
625,QMU24940,Orthohantavirus tulaense,10-08-2020,Orthohantavirus tulaense,429,Switzerland,Microtus arvalis,2016
626,QMU24941,Orthohantavirus tulaense,10-08-2020,Orthohantavirus tulaense,429,Czech Republic,Microtus arvalis,2015
